txId,class
10278231,unknown
163809013,2
102614111,unknown
168218829,unknown
163670715,unknown
168147351,unknown
163830665,unknown
163830659,1
166489983,unknown
166489984,unknown
168147831,unknown
126049772,unknown
163687281,2
41274750,2
19464327,unknown
163678943,unknown
163712254,unknown
163832330,2
166073406,unknown
163670754,2
163901553,unknown
163901550,unknown
163694297,unknown
163828447,unknown
163593980,2
163593975,2
123934633,unknown
163817888,unknown
163687130,2
163807970,2
163701817,2
163885895,unknown
166070349,1
164412870,2
167129269,unknown
168124206,unknown
128622661,unknown
163869666,2
163737480,unknown
142542756,unknown
163586440,1
142611854,1
165862490,unknown
166082754,unknown
165875954,unknown
165876294,unknown
56939285,2
168175194,unknown
163629829,unknown
163629834,unknown
163586165,unknown
163896734,unknown
163710146,unknown
163867966,unknown
165837511,unknown
4696912,unknown
163681370,2
164729391,2
35982595,2
80352165,2
163678726,unknown
163678530,2
166494896,2
163817917,2
163595946,unknown
163670721,2
34699515,unknown
34678097,unknown
163592537,unknown
163592533,unknown
153721293,unknown
163810729,unknown
6720779,unknown
168115131,unknown
168103523,unknown
166133708,unknown
148094014,unknown
167711130,unknown
161374428,unknown
163592236,unknown
163879834,unknown
163819495,unknown
163819493,unknown
105416913,unknown
168150942,unknown
163670734,unknown
133544440,unknown
163734016,unknown
163734005,unknown
168131739,unknown
166491722,unknown
163651194,unknown
163651192,unknown
163651952,unknown
166489965,unknown
163744127,unknown
166526770,unknown
166495446,unknown
163815888,unknown
163725991,unknown
163810144,unknown
163810481,unknown
163866969,2
163866979,2
163651196,unknown
164122098,unknown
163653265,2
163653264,2
128930350,unknown
20786151,unknown
163687919,unknown
163687685,unknown
166471055,unknown
167654663,unknown
163584358,unknown
166067288,unknown
163862205,1
168158009,1
136579658,unknown
39944519,unknown
163704791,2
163892576,unknown
163685462,2
163685458,2
4232201,2
164149211,2
165853723,unknown
165853728,unknown
163693743,unknown
163804154,unknown
163746034,unknown
163745884,unknown
166072787,1
163733966,unknown
163846705,2
69587579,2
163895318,2
163682675,2
163735402,unknown
163649282,2
163687205,unknown
165838025,unknown
