epoch,loss,train_acc,train_f1,val_acc,val_f1,epoch_time_s
1,1.8183,0.3555,0.3337,0.3030,0.2875,1.179
2,1.3958,0.4984,0.4349,0.4201,0.3772,1.094
3,1.0339,0.5946,0.4960,0.4884,0.4250,1.295
4,0.8597,0.6647,0.5404,0.5543,0.4703,0.992
5,0.6976,0.7170,0.5735,0.5982,0.4988,0.860
6,0.5875,0.7588,0.6002,0.6370,0.5209,0.776
7,0.5153,0.7974,0.6267,0.6654,0.5361,0.920
8,0.4386,0.8214,0.6416,0.6987,0.5548,0.781
9,0.3905,0.8379,0.6486,0.7262,0.5701,0.768
10,0.3607,0.8524,0.6567,0.7489,0.5807,0.897
11,0.3314,0.8606,0.6568,0.7670,0.5883,0.967
12,0.3113,0.8690,0.6586,0.7865,0.5972,0.776
13,0.2985,0.8749,0.6591,0.8028,0.6028,0.826
14,0.2838,0.8785,0.6555,0.8131,0.6060,0.857
15,0.2769,0.8816,0.6520,0.8295,0.6175,0.833
16,0.2722,0.8841,0.6501,0.8398,0.6243,0.794
17,0.2650,0.8859,0.6472,0.8449,0.6255,0.855
18,0.2600,0.8872,0.6442,0.8503,0.6256,0.893
19,0.2553,0.8880,0.6404,0.8576,0.6309,1.080
20,0.2540,0.8892,0.6384,0.8628,0.6360,0.772
21,0.2515,0.8904,0.6376,0.8673,0.6391,0.778
22,0.2506,0.8917,0.6378,0.8711,0.6437,1.016
23,0.2489,0.8928,0.6383,0.8744,0.6448,0.838
24,0.2482,0.8937,0.6386,0.8765,0.6460,0.852
25,0.2451,0.8944,0.6395,0.8787,0.6473,0.901
26,0.2451,0.8955,0.6422,0.8808,0.6485,0.957
27,0.2441,0.8965,0.6449,0.8827,0.6503,0.794
28,0.2427,0.8969,0.6455,0.8842,0.6522,1.017
29,0.2423,0.8978,0.6479,0.8857,0.6542,0.952
30,0.2407,0.8984,0.6508,0.8864,0.6543,1.004
31,0.2392,0.8992,0.6538,0.8868,0.6563,1.003
32,0.2393,0.9007,0.6595,0.8885,0.6608,0.893
33,0.2374,0.9017,0.6649,0.8890,0.6614,0.943
34,0.2371,0.9025,0.6688,0.8905,0.6642,0.936
35,0.2342,0.9037,0.6750,0.8918,0.6659,0.960
36,0.2327,0.9044,0.6796,0.8918,0.6659,0.775
37,0.2326,0.9054,0.6855,0.8926,0.6686,0.795
38,0.2301,0.9062,0.6903,0.8933,0.6695,0.907
39,0.2295,0.9069,0.6946,0.8928,0.6689,1.024
40,0.2291,0.9080,0.7002,0.8930,0.6692,0.810
41,0.2283,0.9090,0.7062,0.8930,0.6706,0.903
42,0.2271,0.9103,0.7134,0.8930,0.6692,0.908
43,0.2249,0.9111,0.7176,0.8937,0.6723,1.089
44,0.2255,0.9119,0.7224,0.8937,0.6708,0.807
45,0.2239,0.9123,0.7251,0.8935,0.6698,0.897
46,0.2234,0.9135,0.7308,0.8928,0.6689,1.034
47,0.2208,0.9146,0.7360,0.8926,0.6693,1.056
48,0.2207,0.9156,0.7407,0.8933,0.6702,0.962
49,0.2193,0.9165,0.7454,0.8928,0.6689,0.912
50,0.2181,0.9170,0.7485,0.8930,0.6699,0.798
51,0.2178,0.9177,0.7516,0.8933,0.6695,0.870
52,0.2174,0.9185,0.7556,0.8933,0.6695,1.047
53,0.2153,0.9196,0.7600,0.8943,0.6710,0.912
